date_id,full_date,year,month,day,quarter,day_of_week,is_month_end
1,2025-10-27 00:00:00,2025,10,27,4,Monday,0
2,2025-10-28 00:00:00,2025,10,28,4,Tuesday,0
3,2025-10-29 00:00:00,2025,10,29,4,Wednesday,0
4,2025-10-30 00:00:00,2025,10,30,4,Thursday,0
5,2025-10-31 00:00:00,2025,10,31,4,Friday,1
6,2025-11-03 00:00:00,2025,11,3,4,Monday,0
7,2025-11-04 00:00:00,2025,11,4,4,Tuesday,0
8,2025-11-05 00:00:00,2025,11,5,4,Wednesday,0
9,2025-11-06 00:00:00,2025,11,6,4,Thursday,0
10,2025-11-07 00:00:00,2025,11,7,4,Friday,0
11,2025-11-10 00:00:00,2025,11,10,4,Monday,0
12,2025-11-11 00:00:00,2025,11,11,4,Tuesday,0
13,2025-11-12 00:00:00,2025,11,12,4,Wednesday,0
14,2025-11-13 00:00:00,2025,11,13,4,Thursday,0
15,2025-11-14 00:00:00,2025,11,14,4,Friday,0
16,2025-11-17 00:00:00,2025,11,17,4,Monday,0
17,2025-11-18 00:00:00,2025,11,18,4,Tuesday,0
18,2025-11-19 00:00:00,2025,11,19,4,Wednesday,0
19,2025-11-20 00:00:00,2025,11,20,4,Thursday,0
20,2025-11-21 00:00:00,2025,11,21,4,Friday,0
21,2025-11-24 00:00:00,2025,11,24,4,Monday,0
22,2025-11-25 00:00:00,2025,11,25,4,Tuesday,0
23,2025-11-26 00:00:00,2025,11,26,4,Wednesday,0
24,2025-11-28 00:00:00,2025,11,28,4,Friday,0
25,2025-12-01 00:00:00,2025,12,1,4,Monday,0
26,2025-12-02 00:00:00,2025,12,2,4,Tuesday,0
27,2025-12-03 00:00:00,2025,12,3,4,Wednesday,0
28,2025-12-04 00:00:00,2025,12,4,4,Thursday,0
29,2025-12-05 00:00:00,2025,12,5,4,Friday,0
30,2025-12-08 00:00:00,2025,12,8,4,Monday,0
31,2025-12-09 00:00:00,2025,12,9,4,Tuesday,0
32,2025-12-10 00:00:00,2025,12,10,4,Wednesday,0
33,2025-12-11 00:00:00,2025,12,11,4,Thursday,0
34,2025-12-12 00:00:00,2025,12,12,4,Friday,0
35,2025-12-15 00:00:00,2025,12,15,4,Monday,0
36,2025-12-16 00:00:00,2025,12,16,4,Tuesday,0
37,2025-12-17 00:00:00,2025,12,17,4,Wednesday,0
38,2025-12-18 00:00:00,2025,12,18,4,Thursday,0
39,2025-12-19 00:00:00,2025,12,19,4,Friday,0
40,2025-12-22 00:00:00,2025,12,22,4,Monday,0
41,2025-12-23 00:00:00,2025,12,23,4,Tuesday,0
42,2025-12-24 00:00:00,2025,12,24,4,Wednesday,0
43,2025-12-26 00:00:00,2025,12,26,4,Friday,0
44,2025-12-29 00:00:00,2025,12,29,4,Monday,0
45,2025-12-30 00:00:00,2025,12,30,4,Tuesday,0
46,2025-12-31 00:00:00,2025,12,31,4,Wednesday,1
47,2026-01-02 00:00:00,2026,1,2,1,Friday,0
48,2026-01-05 00:00:00,2026,1,5,1,Monday,0
49,2026-01-06 00:00:00,2026,1,6,1,Tuesday,0
50,2026-01-07 00:00:00,2026,1,7,1,Wednesday,0
51,2026-01-08 00:00:00,2026,1,8,1,Thursday,0
52,2026-01-09 00:00:00,2026,1,9,1,Friday,0
53,2026-01-12 00:00:00,2026,1,12,1,Monday,0
54,2026-01-13 00:00:00,2026,1,13,1,Tuesday,0
55,2026-01-14 00:00:00,2026,1,14,1,Wednesday,0
56,2026-01-15 00:00:00,2026,1,15,1,Thursday,0
57,2026-01-16 00:00:00,2026,1,16,1,Friday,0
58,2026-01-20 00:00:00,2026,1,20,1,Tuesday,0
59,2026-01-21 00:00:00,2026,1,21,1,Wednesday,0
60,2026-01-22 00:00:00,2026,1,22,1,Thursday,0
61,2026-01-23 00:00:00,2026,1,23,1,Friday,0
62,2026-01-26 00:00:00,2026,1,26,1,Monday,0
63,2026-01-27 00:00:00,2026,1,27,1,Tuesday,0
64,2026-01-28 00:00:00,2026,1,28,1,Wednesday,0
65,2026-01-29 00:00:00,2026,1,29,1,Thursday,0
66,2026-01-30 00:00:00,2026,1,30,1,Friday,0
67,2026-02-02 00:00:00,2026,2,2,1,Monday,0
68,2026-02-03 00:00:00,2026,2,3,1,Tuesday,0
69,2026-02-04 00:00:00,2026,2,4,1,Wednesday,0
70,2026-02-05 00:00:00,2026,2,5,1,Thursday,0
71,2026-02-06 00:00:00,2026,2,6,1,Friday,0
72,2026-02-09 00:00:00,2026,2,9,1,Monday,0
73,2026-02-10 00:00:00,2026,2,10,1,Tuesday,0
74,2026-02-11 00:00:00,2026,2,11,1,Wednesday,0
75,2026-02-12 00:00:00,2026,2,12,1,Thursday,0
76,2026-02-13 00:00:00,2026,2,13,1,Friday,0
77,2026-02-17 00:00:00,2026,2,17,1,Tuesday,0
78,2026-02-18 00:00:00,2026,2,18,1,Wednesday,0
79,2026-02-19 00:00:00,2026,2,19,1,Thursday,0
80,2026-02-20 00:00:00,2026,2,20,1,Friday,0
81,2026-02-23 00:00:00,2026,2,23,1,Monday,0
82,2026-02-24 00:00:00,2026,2,24,1,Tuesday,0
83,2026-02-25 00:00:00,2026,2,25,1,Wednesday,0
84,2026-02-26 00:00:00,2026,2,26,1,Thursday,0
85,2026-02-27 00:00:00,2026,2,27,1,Friday,0
86,2026-03-02 00:00:00,2026,3,2,1,Monday,0
87,2026-03-03 00:00:00,2026,3,3,1,Tuesday,0
88,2026-03-04 00:00:00,2026,3,4,1,Wednesday,0
89,2026-03-05 00:00:00,2026,3,5,1,Thursday,0
90,2026-03-06 00:00:00,2026,3,6,1,Friday,0
91,2026-03-09 00:00:00,2026,3,9,1,Monday,0
92,2026-03-10 00:00:00,2026,3,10,1,Tuesday,0
93,2026-03-11 00:00:00,2026,3,11,1,Wednesday,0
94,2026-03-12 00:00:00,2026,3,12,1,Thursday,0
95,2026-03-13 00:00:00,2026,3,13,1,Friday,0
96,2026-03-16 00:00:00,2026,3,16,1,Monday,0
97,2026-03-17 00:00:00,2026,3,17,1,Tuesday,0
98,2026-03-18 00:00:00,2026,3,18,1,Wednesday,0
99,2026-03-19 00:00:00,2026,3,19,1,Thursday,0
100,2026-03-20 00:00:00,2026,3,20,1,Friday,0
